,ISO3,Meses_x,YEAR_x,Unidad_x,Var_Temperatura,Simbolo_x,Latitud,Longitud
255,DEU,Enero,2020,°C,4.364,Fc,50.9667,6.65
256,DEU,Enero,2020,°C,4.364,Fc,47.6542,9.4792
257,DEU,Enero,2020,°C,4.364,Fc,48.8,9.8
258,DEU,Enero,2020,°C,4.364,Fc,52.4183,9.5981
259,DEU,Enero,2020,°C,4.364,Fc,50.8775,6.8761
260,DEU,Enero,2020,°C,4.364,Fc,54.3092,13.0819
261,DEU,Enero,2020,°C,4.364,Fc,51.6586,6.6178
262,DEU,Enero,2020,°C,4.364,Fc,54.0833,13.3833
263,DEU,Enero,2020,°C,4.364,Fc,48.4708,7.9408
264,DEU,Enero,2020,°C,4.364,Fc,51.1167,6.95
265,DEU,Enero,2020,°C,4.364,Fc,48.3833,10
266,DEU,Enero,2020,°C,4.364,Fc,51.5347,7.6889
267,DEU,Enero,2020,°C,4.364,Fc,48.7025,9.6528
268,DEU,Enero,2020,°C,4.364,Fc,50.6613,6.7873
269,DEU,Enero,2020,°C,4.364,Fc,52.35,14.55
270,DEU,Enero,2020,°C,4.364,Fc,52.1031,9.36
271,DEU,Enero,2020,°C,4.364,Fc,50.77,7.1867
272,DEU,Enero,2020,°C,4.364,Fc,50.7667,6.2333
273,DEU,Enero,2020,°C,4.364,Fc,51.1528,14.9872
274,DEU,Enero,2020,°C,4.364,Fc,50.8167,6.2833
275,DEU,Enero,2020,°C,4.364,Fc,52.4394,9.74
276,DEU,Enero,2020,°C,4.364,Fc,51.2667,6.6667
277,DEU,Enero,2020,°C,4.364,Fc,48.8303,9.3169
278,DEU,Enero,2020,°C,4.364,Fc,50.05,10.2333
279,DEU,Enero,2020,°C,4.364,Fc,48.7619,8.2408
280,DEU,Enero,2020,°C,4.364,Fc,51.3992,7.1858
281,DEU,Enero,2020,°C,4.364,Fc,50.2292,8.6105
282,DEU,Enero,2020,°C,4.364,Fc,51,6.8
283,DEU,Enero,2020,°C,4.364,Fc,52.5233,7.3172
284,DEU,Enero,2020,°C,4.364,Fc,52.0875,8.7506
285,DEU,Enero,2020,°C,4.364,Fc,52.4333,7.0667
286,DEU,Enero,2020,°C,4.364,Fc,50.5667,8.5
287,DEU,Enero,2020,°C,4.364,Fc,50.9167,6.8167
288,DEU,Enero,2020,°C,4.364,Fc,49.3443,8.1952
289,DEU,Enero,2020,°C,4.364,Fc,48.5667,13.4667
290,DEU,Enero,2020,°C,4.364,Fc,51.7633,7.8911
291,DEU,Enero,2020,°C,4.364,Fc,52.1622,10.5369
292,DEU,Enero,2020,°C,4.364,Fc,52.2778,7.7167
293,DEU,Enero,2020,°C,4.364,Fc,51.79,6.14
294,DEU,Enero,2020,°C,4.364,Fc,49.8469,7.8669
295,DEU,Enero,2020,°C,4.364,Fc,49.3194,8.4311
296,DEU,Enero,2020,°C,4.364,Fc,48.6833,9
297,DEU,Enero,2020,°C,4.364,Fc,51.2631,6.5492
298,DEU,Enero,2020,°C,4.364,Fc,51.0333,7.5667
299,DEU,Enero,2020,°C,4.364,Fc,47.7831,9.6114
300,DEU,Enero,2020,°C,4.364,Fc,51.906,10.4292
301,DEU,Enero,2020,°C,4.364,Fc,48.8572,8.2031
302,DEU,Enero,2020,°C,4.364,Fc,47.6156,7.6614
303,DEU,Enero,2020,°C,4.364,Fc,52.3203,10.2336
304,DEU,Enero,2020,°C,4.364,Fc,53.3669,7.2061
305,DEU,Enero,2020,°C,4.364,Fc,50.8167,6.7667
306,DEU,Enero,2020,°C,4.364,Fc,48.6761,10.1544
307,DEU,Enero,2020,°C,4.364,Fc,51.6167,7.6333
308,DEU,Enero,2020,°C,4.364,Fc,48.8014,9.0131
309,DEU,Enero,2020,°C,4.364,Fc,52.2,8.8
310,DEU,Enero,2020,°C,4.364,Fc,48.4028,11.7489
311,DEU,Enero,2020,°C,4.364,Fc,51.8417,8.3
312,DEU,Enero,2020,°C,4.364,Fc,50.7592,7.005
313,DEU,Enero,2020,°C,4.364,Fc,48.2603,11.4342
314,DEU,Enero,2020,°C,4.364,Fc,52.2125,7.0417
315,DEU,Enero,2020,°C,4.364,Fc,53.8667,8.7
316,DEU,Enero,2020,°C,4.364,Fc,50.8744,6.1615
317,DEU,Enero,2020,°C,4.364,Fc,48.8772,12.5758
318,DEU,Enero,2020,°C,4.364,Fc,51.5711,8.1092
319,DEU,Enero,2020,°C,4.364,Fc,53.6008,9.4764
320,DEU,Enero,2020,°C,4.364,Fc,50.8667,6.1
321,DEU,Enero,2020,°C,4.364,Fc,48.8086,9.2758
322,DEU,Enero,2020,°C,4.364,Fc,50.2028,8.5769
323,DEU,Enero,2020,°C,4.364,Fc,49.1994,8.1231
324,DEU,Enero,2020,°C,4.364,Fc,51.4458,7.5653
325,DEU,Enero,2020,°C,4.364,Fc,49.3448,7.1799
326,DEU,Enero,2020,°C,4.364,Fc,48.6667,9.2167
327,DEU,Enero,2020,°C,4.364,Fc,51.8308,7.2783
328,DEU,Enero,2020,°C,4.364,Fc,50.3167,11.9167
329,DEU,Enero,2020,°C,4.364,Fc,52.2031,8.3361
330,DEU,Enero,2020,°C,4.364,Fc,50.9489,10.7183
331,DEU,Enero,2020,°C,4.364,Fc,52.2,8.6
